Stable ID,Category,Title,Issue,Advice,Examples – Pass,Examples – Fail,Accessibility Consideration,References,Rationale,Enforcement Level,Roles,Severity,Metrics Affected,Platform-wise Applicability,Page-wise Applicability,Component-wise Applicability,Context-wise Applicability,Evidence Type,AI Support,Confidence Weight,Version
TC-001,Trust & Credibility,Ensure SSL/TLS encryption is implemented and HTTPS is enforced on the website,"• Absence of HTTPS exposes data transmitted between users and government servers. • Users observe “Not Secure” warnings or missing padlock icons in the browser. • This increases risk of data interception, erodes public trust, and violates mandated government security norms.",• Implement valid SSL/TLS certificates across all URLs. • Enforce HTTPS for both desktop and mobile web. • Redirect all HTTP traffic to HTTPS automatically.,• URL starts with https:// and shows a secure padlock icon. • No mixed-content warnings across pages.,• Website loads over http://. • Browser displays “Not Secure” warnings. • Mixed HTTP/HTTPS assets present.,• Secure connections ensure assistive-technology users can safely submit personal data without security interruptions. • Reduces anxiety and abandonment caused by browser security alerts.,GIGW 3.0 – Section 5.3.2 (Security Guidelines),"SSL/TLS encryption is a foundational security requirement for government digital services to protect data integrity and confidentiality. Enforcing HTTPS prevents man-in-the-middle attacks, reassures citizens through visible security indicators, and ensures compliance with nationally mandated standards such as GIGW. Failure to implement HTTPS undermines trust, exposes sensitive data, and creates systemic security risk across the platform.",Foundational,Developer,Big Issue,"User trust, Drop-offs","🌐 Website (Desktop), 📱 Website (Mobile View)",Common (All pages),Not component-specific,"Public-facing access, Secure data transmission",DOM,Deterministic,0.95,v3.0.0
TC-002,Trust & Credibility,Ensure ownership and management information is clearly displayed on the website,• Missing or unclear ownership details prevent users from identifying the responsible authority. • Users question authenticity when department or organisation details are not visible. • This reduces trust and violates mandatory government identification norms.,• Display owning and managing department/organisation clearly. • Place ownership details on homepage and footer. • Include basic official identifiers alongside ownership information.,• Department/organisation name clearly shown in footer. • Homepage includes ownership information.,• No ownership details on homepage or footer. • Ownership buried in PDFs or inaccessible pages.,• Clear ownership indicators reduce cognitive load and help users quickly validate official sources.,GIGW 3.0 – Section 2.2 (Website Identification Guidelines),"Visible ownership disclosure establishes authenticity, accountability, and trust in government digital services. It is a mandated requirement under national governance standards to help citizens quickly verify that a service is official and reliable.",Foundational,Designer,Medium Issue,"User trust, Drop-offs","🌐 Website (Desktop), 📱 Website (Mobile View)","Homepage, Common",Footer,"Official identification, Trust establishment","Content, Visual",Evaluative,0.85,v3.0.0
TC-003,Trust & Credibility,Display official state emblems and ownership identification on mobile app splash screens,• Absence of official emblems and ownership labels on app launch creates authenticity doubts. • Users may mistrust or abandon apps that do not appear officially endorsed. • This undermines trust and violates branding and identity standards.,• Display DBIM-compliant logo lockups on splash screens. • Show state emblem with correct ratio and colors. • Include ownership information in Hindi and English.,• Splash screen shows state emblem and department name correctly. • Branding follows DBIM specifications.,• Splash screen lacks official emblem or ownership details. • Incorrect or distorted emblem usage.,• Properly labelled emblems with alternate text support screen reader users during app launch.,"GIGW 3.0 (5.1.1, 5.1.2), DBIM Section 5.2","First-launch identification is critical for establishing trust in government mobile applications. Prominent display of official emblems and ownership ensures authenticity, legal compliance, and citizen confidence from the first interaction.",Foundational,"Designer, Developer",Big Issue,"User trust, App abandonment",📲 Mobile App,App launch,Splash screen,"First-time app use, Identity verification",Visual,Assisted,0.75,v3.0.0
TC-004,Trust & Credibility,Ensure clear and accessible contact details are provided on the website,• Missing or hidden contact details prevent users from seeking help. • Users feel unsupported when email or phone information is unavailable. • This reduces transparency and trust in government services.,• Display official email address and phone number clearly. • Place contact details in footer and on a dedicated contact page.,• Footer displays official email and phone number. • Dedicated contact page available.,• No visible contact details. • Contact information only in downloadable documents.,• Clear contact details help users with disabilities seek assistance without additional navigation effort.,GIGW 3.0 – Section 2.5 (Contact Information),"Accessible contact information is a core trust and transparency requirement for citizen-facing services. It reassures users that support and accountability mechanisms are in place, as mandated by governance standards.",Foundational,Designer,Medium Issue,"User trust, Drop-offs","🌐 Website (Desktop), 📱 Website (Mobile View)","Homepage, Contact-us",Footer,"User support, Transparency","Content, Visual",Evaluative,0.85,v3.0.0
TC-005,Trust & Credibility,Obtain explicit user consent before collecting or storing personal data,"• Data is collected without explicit user consent. • Users are unaware of data storage or usage practices. • This creates legal, trust, and compliance risks.",• Implement clear opt-in consent mechanisms. • Use consent banners or forms before data collection. • Clearly link consent to stated purposes.,• Cookie or data consent banner with opt-in action. • Clear consent language linked to data usage.,• Data collected automatically without consent. • Pre-checked or hidden consent mechanisms.,"• Clear consent flows help all users, including assistive-technology users, understand and control data usage.","GIGW 3.0 – 2.6.3, BIS IS 17428:2020, DBIM, DPDP Act 2023","Explicit consent is a legal and ethical requirement for government digital services. Obtaining informed, purpose-specific consent protects citizen rights, builds trust, and ensures compliance with national data protection and governance laws.",Foundational,Developer,Big Issue,"User trust, Legal risk, Drop-offs","🌐 Website (Desktop), 📱 Website (Mobile View), 📲 Mobile App",Common,Consent banner,"Data collection, Privacy notice","Interaction, Content",Assisted,0.65,v3.0.0
TC-006,Trust & Credibility,Clearly inform users about what data is collected and how it is used,• Users are not informed about the types of data being collected. • Users do not understand the purpose of data usage. • This creates trust erosion and legal non-compliance risks.,• Clearly disclose data types collected. • Explain purposes of data usage in simple language. • Present disclosures before or at the point of data collection.,• Privacy notice lists data types and purposes clearly. • Disclosure visible before form submission.,• Data collected without disclosure. • Vague or generic privacy statements.,• Clear disclosures support cognitive accessibility and informed consent for assistive-technology users.,"GIGW 3.0 – 2.6.3, BIS IS 17428:2020, DBIM, DPDP Act 2023",Transparent data disclosure is a mandatory requirement for citizen trust and lawful data processing. Clearly informing users about data collection and usage supports informed decision-making and ensures compliance with governance and data protection standards.,Foundational,Developer,Big Issue,"User trust, Legal risk, Drop-offs","🌐 Website (Desktop), 📱 Website (Mobile View)",Common,Privacy notice,"Data collection, User notice",Content,Assisted,0.6,v3.0.0
TC-007,Trust & Credibility,Display the National Emblem prominently in the website or app header,• Absence or poor placement of the National Emblem reduces perceived authenticity. • Users may doubt whether the platform is an official government service. • This weakens trust and violates identity standards.,"• Place the National Emblem prominently in the header. • Follow official size, color, and placement guidelines.",• National Emblem visible in header on homepage. • Correct emblem proportions and placement.,"• Emblem missing, distorted, or placed inconsistently.",• Proper emblem display supports visual recognition for users with cognitive disabilities.,"GIGW 3.0 – Section 2.2.1, DBIM","The National Emblem serves as a primary visual indicator of official government authority. Proper display establishes legitimacy, reinforces trust, and ensures compliance with national identity and branding standards.",Foundational,Designer,Medium Issue,User trust,"🌐 Website (Desktop), 📱 Website (Mobile View), 📲 Mobile App","Homepage, Common",Header,Official identity,Visual,Evaluative,0.9,v3.0.0
TC-008,Trust & Credibility,Implement trusted government login systems for user authentication,• Absence of trusted login systems weakens authentication assurance. • Users face fragmented or insecure login experiences. • This increases security and trust risks.,• Integrate trusted login systems such as Meri Pehchan. • Ensure secure and consistent authentication flows.,• Login via Meri Pehchan available. • Secure government-backed authentication flow.,• Only local or insecure login mechanisms present.,• Standardized login flows improve accessibility and reduce cognitive effort for users.,"GIGW 3.0 – 4.2, BIS IS 17428:2020, DBIM","Trusted login systems standardize authentication, reduce security risks, and improve user confidence. Their use aligns with national digital identity and secure access initiatives.",Foundational,Developer,Big Issue,"User trust, Security risk, Drop-offs","🌐 Website (Desktop), 📱 Website (Mobile View), 📲 Mobile App","Sign-up, Login",Login module,Authentication,Interaction,Assisted,0.7,v3.0.0
TC-009,Trust & Credibility,Provide a clear grievance redressal mechanism for users,• Users cannot easily submit complaints or feedback. • Lack of grievance mechanisms reduces accountability. • This undermines trust and service quality.,"• Provide a visible grievance or feedback mechanism. • Place access links prominently (e.g., footer).",• Dedicated grievance form or feedback link available.,• No grievance or feedback mechanism present.,• Accessible grievance channels support inclusive participation for all users.,"GIGW 3.0 – 2.5.3, DBIM, BIS IS 17428:2020",Grievance redressal mechanisms are essential for accountability and responsive governance. They empower citizens to raise concerns and support continuous service improvement.,Foundational,"Designer, Developer",Big Issue,"User trust, Drop-offs","🌐 Website (Desktop), 📱 Website (Mobile View), 📲 Mobile App",Common,Footer,"Feedback, Complaints",Interaction,Assisted,0.75,v3.0.0
TC-010,Trust & Credibility,Allow users to track the status of submitted grievances,• Users cannot track grievance resolution status. • Lack of updates increases follow-ups and dissatisfaction. • This reduces transparency and trust.,• Provide grievance tracking using reference numbers or login. • Display status updates clearly.,• Users can view complaint status online.,• No tracking or status visibility provided.,• Status tracking supports clarity for users with cognitive or memory impairments.,"GIGW 3.0 – 2.5.5, DBIM, BIS IS 17428:2020","Complaint tracking improves transparency, reduces uncertainty, and demonstrates responsive governance by keeping citizens informed throughout resolution.",Foundational,"Designer, Developer",Medium Issue,"User trust, CSAT, Drop-offs","🌐 Website (Desktop), 📱 Website (Mobile View), 📲 Mobile App",Grievance pages,Tracking module,Complaint resolution,Interaction,Assisted,0.55,v3.0.0
